"","orthogroup","gene","species"
"1","OG0000000","HCON_00000100-00001","H. contortus"
"2","OG0000000","HCON_00000160-00001","H. contortus"
"3","OG0000000","HCON_00000170-00001","H. contortus"
"4","OG0000000","HCON_00000270-00001","H. contortus"
"5","OG0000000","HCON_00000280-00001","H. contortus"
"6","OG0000000","HCON_00000460-00001","H. contortus"
"7","OG0000000","HCON_00000470-00001","H. contortus"
"8","OG0000000","HCON_00000610-00001","H. contortus"
"9","OG0000000","HCON_00000620-00001","H. contortus"
"10","OG0000000","HCON_00000630-00001","H. contortus"
"11","OG0000000","HCON_00000750-00001","H. contortus"
"12","OG0000000","HCON_00000880-00001","H. contortus"
"13","OG0000000","HCON_00000890-00001","H. contortus"
"14","OG0000000","HCON_00000910-00001","H. contortus"
"15","OG0000000","HCON_00000930-00001","H. contortus"
"16","OG0000000","HCON_00000970-00001","H. contortus"
"17","OG0000000","HCON_00001920-00001","H. contortus"
"18","OG0000000","HCON_00001970-00001","H. contortus"
"19","OG0000000","HCON_00002450-00001","H. contortus"
"20","OG0000000","HCON_00003170-00001","H. contortus"
"21","OG0000000","HCON_00003180-00001","H. contortus"
"22","OG0000000","HCON_00003210-00001","H. contortus"
"23","OG0000000","HCON_00003250-00001","H. contortus"
"24","OG0000000","HCON_00003260-00001","H. contortus"
"25","OG0000000","HCON_00003270-00001","H. contortus"
"26","OG0000000","HCON_00003290-00001","H. contortus"
"27","OG0000000","HCON_00003360-00001","H. contortus"
"28","OG0000000","HCON_00003490-00001","H. contortus"
"29","OG0000000","HCON_00004670-00001","H. contortus"
"30","OG0000000","HCON_00005770-00001","H. contortus"
"31","OG0000000","HCON_00005780-00001","H. contortus"
"32","OG0000000","HCON_00006000-00001","H. contortus"
"33","OG0000000","HCON_00006260-00001","H. contortus"
"34","OG0000000","HCON_00006420-00001","H. contortus"
"35","OG0000000","HCON_00006430-00001","H. contortus"
"36","OG0000000","HCON_00006940-00001","H. contortus"
"37","OG0000000","HCON_00006950-00001","H. contortus"
"38","OG0000000","HCON_00007410-00001","H. contortus"
"39","OG0000000","HCON_00007990-00001","H. contortus"
"40","OG0000000","HCON_00008070-00001","H. contortus"
"41","OG0000000","HCON_00009510-00001","H. contortus"
"42","OG0000000","HCON_00009520-00001","H. contortus"
"43","OG0000000","HCON_00009550-00001","H. contortus"
"44","OG0000000","HCON_00009720-00001","H. contortus"
"45","OG0000000","HCON_00009960-00001","H. contortus"
"46","OG0000000","HCON_00009970-00001","H. contortus"
"47","OG0000000","HCON_00009980-00001","H. contortus"
"48","OG0000000","HCON_00010150-00001","H. contortus"
"49","OG0000000","HCON_00010480-00001","H. contortus"
"50","OG0000000","HCON_00010700-00001","H. contortus"
"51","OG0000000","HCON_00010730-00001","H. contortus"
"52","OG0000000","HCON_00010780-00001","H. contortus"
"53","OG0000000","HCON_00010910-00001","H. contortus"
"54","OG0000000","HCON_00011040-00001","H. contortus"
"55","OG0000000","HCON_00011170-00001","H. contortus"
"56","OG0000000","HCON_00011260-00001","H. contortus"
"57","OG0000000","HCON_00011350-00001","H. contortus"
"58","OG0000000","HCON_00011450-00001","H. contortus"
"59","OG0000000","HCON_00011650-00001","H. contortus"
"60","OG0000000","HCON_00011690-00001","H. contortus"
"61","OG0000000","HCON_00012080-00001","H. contortus"
"62","OG0000000","HCON_00012110-00001","H. contortus"
"63","OG0000000","HCON_00012120-00001","H. contortus"
"64","OG0000000","HCON_00012210-00001","H. contortus"
"65","OG0000000","HCON_00012220-00001","H. contortus"
"66","OG0000000","HCON_00012580-00001","H. contortus"
"67","OG0000000","HCON_00012590-00001","H. contortus"
"68","OG0000000","HCON_00012600-00001","H. contortus"
"69","OG0000000","HCON_00012610-00001","H. contortus"
"70","OG0000000","HCON_00013200-00001","H. contortus"
"71","OG0000000","HCON_00013410-00001","H. contortus"
"72","OG0000000","HCON_00013420-00001","H. contortus"
"73","OG0000000","HCON_00014610-00001","H. contortus"
"74","OG0000000","HCON_00014690-00001","H. contortus"
"75","OG0000000","HCON_00015180-00001","H. contortus"
"76","OG0000000","HCON_00016550-00001","H. contortus"
"77","OG0000000","HCON_00016950-00001","H. contortus"
"78","OG0000000","HCON_00017270-00001","H. contortus"
"79","OG0000000","HCON_00017290-00001","H. contortus"
"80","OG0000000","HCON_00017300-00001","H. contortus"
"81","OG0000000","HCON_00017510-00001","H. contortus"
"82","OG0000000","HCON_00018230-00001","H. contortus"
"83","OG0000000","HCON_00018840-00001","H. contortus"
"84","OG0000000","HCON_00019020-00001","H. contortus"
"85","OG0000000","HCON_00019050-00001","H. contortus"
"86","OG0000000","HCON_00020580-00001","H. contortus"
"87","OG0000000","HCON_00020590-00001","H. contortus"
"88","OG0000000","HCON_00020660-00001","H. contortus"
"89","OG0000000","HCON_00021220-00001","H. contortus"
"90","OG0000000","HCON_00021490-00001","H. contortus"
"91","OG0000000","HCON_00021980-00001","H. contortus"
"92","OG0000000","HCON_00022110-00001","H. contortus"
"93","OG0000000","HCON_00022180-00001","H. contortus"
"94","OG0000000","HCON_00022190-00001","H. contortus"
"95","OG0000000","HCON_00023630-00001","H. contortus"
"96","OG0000000","HCON_00025090-00001","H. contortus"
"97","OG0000000","HCON_00025460-00001","H. contortus"
"98","OG0000000","HCON_00026400-00001","H. contortus"
"99","OG0000000","HCON_00027020-00001","H. contortus"
"100","OG0000000","HCON_00027300-00001","H. contortus"
"101","OG0000000","HCON_00028870-00001","H. contortus"
"102","OG0000000","HCON_00028880-00001","H. contortus"
"103","OG0000000","HCON_00028890-00001","H. contortus"
"104","OG0000000","HCON_00028900-00001","H. contortus"
"105","OG0000000","HCON_00028910-00001","H. contortus"
"106","OG0000000","HCON_00028930-00001","H. contortus"
"107","OG0000000","HCON_00028980-00001","H. contortus"
"108","OG0000000","HCON_00030180-00001","H. contortus"
"109","OG0000000","HCON_00030270-00001","H. contortus"
"110","OG0000000","HCON_00030280-00001","H. contortus"
"111","OG0000000","HCON_00030290-00001","H. contortus"
"112","OG0000000","HCON_00030560-00001","H. contortus"
"113","OG0000000","HCON_00031950-00001","H. contortus"
