"","transcriptID","WormBaseID","locus","start","stop","VL_am","VL_lm","VL_nil","VC_lm","VC_nil","VR_am","VR_lm","VR_nil","HCON_ortho","HCON_start","HCON_stop","interval_1_status","interval_2_status"
"1","C38C3.4b","WBGene00016513",NA,1482042,1484124,NA,NA,"Y",NA,NA,NA,NA,NA,"HCON_00135820-00001","6249179","6254497",NA,NA
"2","F35F10.8","WBGene00006013","srx-122",3296108,3297864,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","F09F3.11","WBGene00006026","srx-135",13859206,13861402,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"4","F09F3.12","WBGene00006027","srx-136",13857432,13859021,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"5","F35F10.2","WBGene00018053","srbc-3",3308469,3309689,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","F35F10.5","WBGene00018055",NA,3284929,3285902,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","F35F10.7","WBGene00018057",NA,3286340,3287460,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","F35F10.6","WBGene00018056",NA,3287968,3289385,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","D1086.9","WBGene00008396",NA,14104270,14106483,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"10","T06E6.8","WBGene00005470","srh-264",15414147,15415349,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"11","F08F3.10","WBGene00017266",NA,5413320,5415073,NA,NA,NA,NA,"Y",NA,NA,NA,"HCON_00160120-00001","43651368","43657505",NA,NA
"12","T06E6.4","WBGene00005519","sri-7",15400327,15401820,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"13","C55A1.1","WBGene00008321",NA,15621818,15623077,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"14","T16A9.5","WBGene00011795",NA,14213552,14215206,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"15","D1086.6","WBGene00008393",NA,14074482,14081766,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"16","F09C6.9","WBGene00003706","nhr-116",16912234,16915352,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"17","F08E10.7","WBGene00008575","scl-24",17486428,17487241,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"18","D1086.7","WBGene00008394",NA,14084270,14085811,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"19","F08E10.2","WBGene00008574","srbc-61",17476790,17478083,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"20","F08E10.3","WBGene00005341","srh-123",17473999,17475471,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"21","T25E12.13","WBGene00012028","srz-99",16730261,16731464,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"22","F08E10.1","WBGene00005442","srh-235",17470223,17471664,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"23","F35F10.1","WBGene00018052",NA,3316307,3317851,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","C18C4.1d","WBGene00015964","glb-5",5558890,5564298,NA,NA,NA,NA,"Y",NA,NA,NA,"HCON_00139400-00001","11064564","11070835",NA,NA
"25","F35F10.11","WBGene00018060","arrd-18",3310123,3312117,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","F35F10.13","WBGene00018062",NA,3318170,3319075,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","F35F10.12","WBGene00018061","arrd-19",3313244,3315516,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Y59A8B.11b","WBGene00013348","fbxa-106",18082406,18085199,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"29","T09F5.3","WBGene00006110","str-45",15158991,15160546,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
