"","transcriptID","WormBaseID","locus","start","stop","VL_am","VL_lm","VL_nil","VC_lm","VC_nil","VR_am","VR_lm","VR_nil","HCON_ortho","HCON_start","HCON_stop","interval_1_status","interval_2_status"
"1","C38C3.4b","WBGene00016513","-",1482042,1484124,"-","-","Y","-","-","-","-","-","HCON_00135820-00001",6249179,6254497,"-","-"
"2","F35F10.8","WBGene00006013","srx-122",3296108,3297864,"Y","-","-","-","-","-","-","-","-",NA,NA,"-","-"
"3","F09F3.11","WBGene00006026","srx-135",13859206,13861402,"-","-","-","-","-","-","-","Y","-",NA,NA,"-","-"
"4","F09F3.12","WBGene00006027","srx-136",13857432,13859021,"-","-","-","-","-","-","-","Y","-",NA,NA,"-","-"
"5","F35F10.2","WBGene00018053","srbc-3",3308469,3309689,"Y","-","-","-","-","-","-","-","-",NA,NA,"-","-"
"6","F35F10.5","WBGene00018055","-",3284929,3285902,"Y","-","-","-","-","-","-","-","-",NA,NA,"-","-"
"7","F35F10.7","WBGene00018057","-",3286340,3287460,"Y","-","-","-","-","-","-","-","-",NA,NA,"-","-"
"8","F35F10.6","WBGene00018056","-",3287968,3289385,"Y","-","-","-","-","-","-","-","-",NA,NA,"-","-"
"9","D1086.9","WBGene00008396","-",14104270,14106483,"-","-","-","-","-","-","-","Y","-",NA,NA,"-","-"
"10","T06E6.8","WBGene00005470","srh-264",15414147,15415349,"-","-","-","-","-","-","-","Y","-",NA,NA,"-","-"
"11","F08F3.10","WBGene00017266","-",5413320,5415073,"-","-","-","-","Y","-","-","-","HCON_00160120-00001",43651368,43657505,"-","-"
"12","T06E6.4","WBGene00005519","sri-7",15400327,15401820,"-","-","-","-","-","-","-","Y","-",NA,NA,"-","-"
"13","C55A1.1","WBGene00008321","-",15621818,15623077,"-","-","-","-","-","-","-","Y","-",NA,NA,"-","-"
"14","T16A9.5","WBGene00011795","-",14213552,14215206,"-","-","-","-","-","-","-","Y","-",NA,NA,"-","-"
"15","D1086.6","WBGene00008393","-",14074482,14081766,"-","-","-","-","-","-","-","Y","-",NA,NA,"-","-"
"16","F09C6.9","WBGene00003706","nhr-116",16912234,16915352,"-","-","-","-","-","-","-","Y","-",NA,NA,"-","-"
"17","F08E10.7","WBGene00008575","scl-24",17486428,17487241,"-","-","-","-","-","-","-","Y","-",NA,NA,"-","-"
"18","D1086.7","WBGene00008394","-",14084270,14085811,"-","-","-","-","-","-","-","Y","-",NA,NA,"-","-"
"19","F08E10.2","WBGene00008574","srbc-61",17476790,17478083,"-","-","-","-","-","-","-","Y","-",NA,NA,"-","-"
"20","F08E10.3","WBGene00005341","srh-123",17473999,17475471,"-","-","-","-","-","-","-","Y","-",NA,NA,"-","-"
"21","T25E12.13","WBGene00012028","srz-99",16730261,16731464,"-","-","-","-","-","-","-","Y","-",NA,NA,"-","-"
"22","F08E10.1","WBGene00005442","srh-235",17470223,17471664,"-","-","-","-","-","-","-","Y","-",NA,NA,"-","-"
"23","F35F10.1","WBGene00018052","-",3316307,3317851,"Y","-","-","-","-","-","-","-","-",NA,NA,"-","-"
"24","C18C4.1d","WBGene00015964","glb-5",5558890,5564298,"-","-","-","-","Y","-","-","-","HCON_00139400-00001",11064564,11070835,"-","-"
"25","F35F10.11","WBGene00018060","arrd-18",3310123,3312117,"Y","-","-","-","-","-","-","-","-",NA,NA,"-","-"
"26","F35F10.13","WBGene00018062","-",3318170,3319075,"Y","-","-","-","-","-","-","-","-",NA,NA,"-","-"
"27","F35F10.12","WBGene00018061","arrd-19",3313244,3315516,"Y","-","-","-","-","-","-","-","-",NA,NA,"-","-"
"28","Y59A8B.11b","WBGene00013348","fbxa-106",18082406,18085199,"-","-","-","-","-","-","-","Y","-",NA,NA,"-","-"
"29","T09F5.3","WBGene00006110","str-45",15158991,15160546,"-","-","-","-","-","-","-","Y","-",NA,NA,"-","-"
"30","T09F5.2","WBGene00011666","-",15150961,15151638,"-","-","-","-","-","-","-","Y","-",NA,NA,"-","-"
"31","C04E6.9","WBGene00005094","srd-16",5898538,5900040,"-","-","-","-","Y","-","-","-","-",NA,NA,"-","-"
"32","C04E6.8","WBGene00015424","-",5882563,5883835,"-","-","-","-","Y","-","-","-","-",NA,NA,"-","-"
"33","Y49A3A.5","WBGene00000877","cyn-1",14356076,14356925,"-","-","-","-","-","-","-","Y","-",NA,NA,"-","-"
"34","T09F5.5","WBGene00005278","srh-55",15153577,15154994,"-","-","-","-","-","-","-","Y","-",NA,NA,"-","-"
"35","T15B7.14","WBGene00020526","-",6832243,6835342,"-","-","-","Y","-","-","-","-","-",NA,NA,"-","-"
"36","T15B7.16","WBGene00020528","lgc-54",6840217,6846607,"-","-","-","Y","-","-","-","-","-",NA,NA,"-","-"
"37","C04E6.7","WBGene00015423","-",5881849,5895209,"-","-","-","-","Y","-","-","-","-",NA,NA,"-","-"
"38","C04E6.6","WBGene00001698","grd-9",5895388,5898602,"-","-","-","-","Y","-","-","-","-",NA,NA,"-","-"
"39","C04E6.5","WBGene00015422","-",5902133,5904843,"-","-","-","-","Y","-","-","-","-",NA,NA,"-","-"
"40","F09G2.1a","WBGene00017310","-",7200224,7205632,"-","-","-","Y","-","-","-","-","HCON_00143540-00001",18134886,18169416,"-","-"
"41","T28A11.3","WBGene00020870","-",3275333,3276110,"Y","-","-","-","-","-","-","-","-",NA,NA,"-","-"
"42","T28A11.2","WBGene00020869","-",3280372,3281171,"Y","-","-","-","-","-","-","-","-",NA,NA,"-","-"
"43","T28A11.1","WBGene00006127","str-64",3283257,3284930,"Y","-","-","-","-","-","-","-","-",NA,NA,"-","-"
"44","T28A11.7","WBGene00020874","srbc-5",3260375,3262082,"Y","-","-","-","-","-","-","-","-",NA,NA,"-","-"
"45","T28A11.4","WBGene00020871","-",3274050,3274446,"Y","-","-","-","-","-","-","-","-",NA,NA,"-","-"
"46","T28A11.9","WBGene00005596","srj-8",3247815,3249140,"Y","-","-","-","-","-","-","-","-",NA,NA,"-","-"
"47","C31A11.13","WBGene00206534","-",16301804,16302551,"-","-","-","-","-","Y","Y","Y","-",NA,NA,"-","-"
